ApplicantName,CGPA,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,PlagiarismHistory,CW1,CW2,ESE,Online C,Online O,Played,Paused,Likes,Segment,Result,Cluster,Cluster Name,Cluster Description
Student 126,Good,Low,No,No,No,Yes,No,No,High,Low,Fair,Fair,Adequate,Good,Good,2,2,1,1,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 127,Fair,Low,No,No,No,Yes,No,No,Medium,Low,Fair,Very Good,Excellent,Very Good,Very Good,3,1,1,2,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 128,Fair,Low,No,No,No,No,No,No,High,Low,Good,Adequate,Adequate,Very Good,Good,8,13,0,7,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 129,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Fair,Fair,Excellent,Good,5,3,0,4,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 130,Good,Low,No,No,No,No,No,No,High,Low,Fail,Adequate,Good,Fair,Good,5,7,1,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 131,Good,Low,No,No,No,No,No,No,High,Low,Fair,Excellent,Good,Excellent,Very Good,1,7,2,0,Fail,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 132,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fair,Very Good,Good,Very Good,Very Good,1,1,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 133,Fair,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Good,Good,1,0,0,0,Fail,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 134,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Adequate,Fair,Very Good,Fair,1,1,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 135,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Adequate,Good,Excellent,6,7,0,5,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 136,Good,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Good,Very Good,1,0,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 137,Adequate,Medium,No,No,Yes,No,Yes,No,Low,Low,Good,Excellent,Adequate,Good,Poor,3,0,1,2,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 138,Fair,Low,No,No,No,No,No,No,Medium,Low,Fair,Very Good,Good,Good,Good,1,0,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 139,Fair,Low,No,No,No,No,Yes,No,Low,Low,Fair,Good,Adequate,Good,Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 140,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 141,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Fair,Fail,Good,Good,1,6,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 142,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Good,Poor,1,4,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 143,Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Fail,Very Good,Good,1,3,1,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 144,Fair,Low,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Very Good,Good,Very Good,1,4,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 145,Very Good,Low,No,No,No,No,No,No,Low,Low,Adequate,Excellent,Fair,Good,Very Good,1,5,0,0,Fail,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 146,Good,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Good,Poor,1,5,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 147,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Good,Fair,1,5,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 148,Adequate,Low,No,No,Yes,No,Yes,Yes,High,Low,Adequate,Adequate,Adequate,Good,Poor,1,2,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 149,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Good,2,0,2,1,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 150,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fail,Good,Fair,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 151,Adequate,High,No,No,Yes,No,Yes,No,High,Low,Very Good,Very Good,Fair,Very Good,Very Good,1,1,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 152,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Adequate,Adequate,Good,Good,Poor,1,1,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 153,Good,Low,No,No,No,No,No,No,High,Low,Good,Good,Adequate,Good,Adequate,5,0,1,4,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 154,Adequate,Low,No,No,No,No,Yes,Yes,High,Low,Very Good,Very Good,Fair,Excellent,Very Good,2,0,0,1,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 155,Adequate,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Fail,Fair,Fair,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 156,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Fair,Very Good,Excellent,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 157,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 158,Adequate,Low,No,No,No,No,Yes,Yes,Medium,Low,Adequate,Adequate,Adequate,Good,Adequate,2,0,0,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 159,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Very Good,Very Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 160,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Fair,Adequate,Good,Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 161,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Fair,Fair,Adequate,Good,Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 162,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Very Good,Excellent,Very Good,Very Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 163,Good,Low,No,No,No,No,No,No,Low,Low,Good,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 164,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fair,Excellent,Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 165,Very Good,Low,No,No,No,No,Yes,No,Low,Low,Fail,Adequate,Good,Fair,Good,3,1,2,2,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 166,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Very Good,Good,Excellent,Very Good,1,0,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 167,Fair,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Very Good,Very Good,2,2,1,1,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 168,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Adequate,Fair,Good,Good,3,1,1,2,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 169,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Very Good,Very Good,Adequate,Very Good,Fair,8,13,0,7,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 170,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Very Good,Excellent,Good,Good,Excellent,5,3,0,4,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 171,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Excellent,Adequate,Good,Very Good,5,7,1,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 172,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Very Good,Adequate,Good,Poor,1,7,2,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 173,Fair,Low,No,No,No,No,Yes,No,High,Low,Fair,Good,Adequate,Good,Good,1,1,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 174,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Fail,Good,Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 175,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Fair,Fail,Very Good,Good,1,1,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 176,Fair,Low,No,No,No,No,Yes,No,Low,Low,Adequate,Adequate,Fair,Good,Good,6,7,0,5,Fail,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 177,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Good,Very Good,Fail,Good,Poor,1,0,1,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 178,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Very Good,Very Good,Good,3,0,1,2,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 179,Very Good,Low,No,No,No,No,No,No,Low,Low,Adequate,Excellent,Fair,Good,Very Good,1,0,1,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 180,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Good,Very Good,Adequate,Good,Very Good,1,0,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 181,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fair,Excellent,Poor,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 182,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Fair,Fail,Good,Poor,1,6,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 183,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Good,Fail,Very Good,Poor,1,4,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 184,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Fail,Fair,Good,1,3,1,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 185,Good,Low,No,No,No,No,No,No,Low,Low,Very Good,Adequate,Fair,Fair,Poor,1,4,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 186,Adequate,High,No,No,Yes,No,No,No,Medium,Low,Good,Good,Fail,Good,Adequate,1,5,0,0,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 187,Good,Low,No,No,No,No,No,No,Low,Low,Good,Excellent,Adequate,Good,Poor,1,5,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 188,Very Good,Low,No,No,No,No,No,No,High,Low,Excellent,Very Good,Good,Excellent,Poor,1,5,0,0,Pass,2,❌ The Disengaged,Barely active – minimal interaction across the board. Need targeted intervention or re-engagement.
Student 189,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Excellent,Excellent,Excellent,1,2,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 190,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Excellent,Good,Very Good,2,0,2,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 191,Adequate,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Excellent,Fair,Very Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 192,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Excellent,Fair,Very Good,1,1,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 193,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Excellent,Good,Excellent,1,1,0,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 194,Excellent,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Very Good,Good,Poor,3,1,2,2,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 195,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Very Good,Very Good,Very Good,1,0,0,0,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 196,Adequate,Medium,No,No,No,No,Yes,Yes,Medium,Low,Fail,Fail,Very Good,Excellent,Excellent,2,2,1,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 197,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Very Good,Good,Excellent,3,1,1,2,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 198,Adequate,Medium,No,Yes,Yes,No,Yes,Yes,Medium,Low,Fail,Fail,Very Good,Very Good,Very Good,8,13,1,7,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 199,Adequate,Medium,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Very Good,Excellent,Excellent,5,3,0,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 200,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Very Good,Good,Good,5,7,1,4,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 201,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Excellent,Good,1,7,2,0,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 202,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Good,Fair,Fair,1,1,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 203,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Good,Excellent,Excellent,1,0,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 204,Fair,Medium,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Good,Poor,Good,1,1,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 205,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Adequate,6,7,0,5,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 206,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fair,Poor,Excellent,1,0,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 207,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Good,3,0,1,2,Pass,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 208,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Adequate,Good,5,0,1,3,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 209,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Very Good,1,4,3,3,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 210,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Poor,5,0,2,5,Fail,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 211,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Fair,5,0,1,3,Fail,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 212,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,4,0,2,3,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 213,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Good,5,1,3,3,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 214,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Fair,0,2,0,3,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 215,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Very Good,Poor,4,3,2,5,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 216,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Good,5,0,3,4,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 217,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Adequate,Very Good,Excellent,5,3,0,5,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 218,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Poor,Fair,3,5,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 219,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Excellent,3,2,3,3,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 220,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Excellent,3,5,1,5,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 221,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Fair,Good,1,3,3,3,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 222,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Fair,Excellent,4,0,3,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 223,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Very Good,Excellent,5,0,2,2,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 224,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Poor,0,2,2,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 225,Adequate,Low,No,Yes,No,No,Yes,No,Low,Low,Fail,Fail,Fail,Excellent,Good,0,5,3,1,Fail,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 226,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,0,3,2,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 227,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Adequate,Very Good,Very Good,4,0,0,2,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 228,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,4,0,2,3,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 229,Excellent,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Very Good,4,4,0,3,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 230,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Very Good,1,2,1,0,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 231,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,2,1,2,4,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 232,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Fair,2,1,1,2,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 233,Very Good,Low,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Adequate,Excellent,Good,3,0,2,0,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 234,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Very Good,2,2,1,0,Fail,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 235,Good,Low,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Adequate,Adequate,Excellent,3,5,3,3,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 236,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Fair,0,0,3,0,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 237,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Very Good,4,0,3,3,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 238,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Good,1,2,2,1,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 239,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Good,1,3,2,5,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 240,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Very Good,2,2,3,0,Fail,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 241,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,0,0,1,2,Pass,1,⭐ The Enthusiasts,"Highly active across all content – they watch, pause to reflect, like content, and explore many segments. The ideal learners!"
Student 242,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Good,0,1,0,0,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 243,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Poor,1,2,3,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 244,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Poor,Good,3,0,0,3,Fail,3,👻 The Silent Observers,"Present, but almost invisible – low likes and segment engagement. They view but rarely interact."
Student 245,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Fair,Very Good,5,3,1,1,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 246,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Fair,Excellent,2,1,1,2,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 247,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Excellent,5,0,3,2,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 248,Good,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Excellent,Excellent,3,5,3,1,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 249,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Very Good,5,4,3,1,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 250,Adequate,Low,No,No,No,Yes,No,No,Medium,Low,Fail,Fail,Adequate,Adequate,Excellent,0,0,3,1,Pass,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
Student 251,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Excellent,4,1,2,3,Fail,0,📚 The Steady Learners,Moderate engagement – they interact consistently but not intensely. They’re balanced and reliable.
